"","Year","country_code","country_name","lfpr_female","family_benefits_exp","per_female_tertiary","position_guarantee","mandatory_leave_days","employment_services","epl_score","female_politicians"
"177",2014,"BGR","Bulgaria",48.6290016174316,NA,54.26942,NA,20,62.8769989013672,NA,20
"178",2014,"HRV","Croatia",46.5060005187988,NA,56.78757,NA,23.8,63.5019989013672,NA,23.8
"179",2014,"CYP","Cyprus",57.8120002746582,NA,57.3677,NA,12.5,79.052001953125,NA,12.5
"180",2014,"CZE","Czech Republic",50.9679985046387,NA,57.14555,NA,18.5,59.2120018005371,NA,18.5
"181",2014,"DNK","Denmark",58.0110015869141,NA,57.31738,NA,39.1,78.2600021362305,NA,39.1
"182",2014,"EST","Estonia",54.5909996032715,NA,58.71862,NA,19,65.9940032958984,NA,19
"183",2014,"FIN","Finland",55.5060005187988,NA,53.635,NA,42.5,73.8489990234375,NA,42.5
"184",2014,"FRA","France",50.8870010375977,NA,54.51768,NA,25.7,76.5810012817383,NA,25.7
"185",2014,"DEU","Germany",54.5149993896484,NA,47.40508,NA,35.6,70.5199966430664,NA,35.6
"186",2014,"GRC","Greece",44.851001739502,NA,48.67536,NA,21,71.4509963989258,NA,21
"187",2014,"HUN","Hungary",46.2809982299805,NA,55.24366,NA,10.1,64.8219985961914,NA,10.1
"188",2014,"IRL","Ireland",52.7150001525879,NA,50.52768,NA,19.5,76.0650024414063,NA,19.5
"189",2014,"ITA","Italy",39.4000015258789,NA,56.77916,NA,30.6,69.4550018310547,NA,30.6
"190",2014,"LVA","Latvia",53.4480018615723,NA,57.54926,NA,18,68.6490020751953,NA,18
"191",2014,"LTU","Lithuania",54.0769996643066,NA,58.07371,NA,24.1,66.1100006103516,2.4155328,24.1
"192",2014,"LUX","Luxembourg",51.992000579834,NA,NA,NA,28.3,87.5910034179688,NA,28.3
"193",2014,"MLT","Malta",40.6920013427734,NA,54.86122,NA,14.3,77.7249984741211,NA,14.3
"194",2014,"NLD","Netherlands",57.8139991760254,NA,NA,NA,37.8,81.4810028076172,NA,37.8
"195",2014,"POL","Poland",49.1640014648438,NA,59.37495,NA,22.3,57.9669990539551,NA,22.3
"196",2014,"PRT","Portugal",53.7980003356934,NA,53.54721,NA,31.3,67.4940032958984,NA,31.3
"197",2014,"ROU","Romania",46.1459999084473,NA,53.78482,NA,11.7,42.7239990234375,NA,11.7
"198",2014,"SVK","Slovak Republic",51.1189994812012,NA,59.6551,NA,18.7,61.0579986572266,NA,18.7
"199",2014,"SVN","Slovenia",52.3460006713867,NA,57.75198,NA,26.9,59.4410018920898,2.3871882,26.9
"200",2014,"ESP","Spain",52.3759994506836,NA,53.34382,NA,37,76.306999206543,NA,37
"201",2014,"SWE","Sweden",60.3409996032715,NA,59.41729,NA,44.7,79.4219970703125,NA,44.7
"202",2014,"GBR","United Kingdom",56.4249992370605,NA,55.96027,NA,23,79.7809982299805,1.5918368,23
"203",2014,"USA","United States",56.1100006103516,NA,56.30172,NA,19.4,79.443000793457,NA,19.4
"204",2015,"AUT","Austria",54.5359992980957,NA,53.22822,"No",30.3,69.7050018310547,NA,30.3
"205",2015,"BEL","Belgium",48.023998260498,NA,55.87891,"Yes",42.4,77.3889999389648,NA,42.4
"206",2015,"BGR","Bulgaria",48.632999420166,NA,54.56152,"Yes",20.4,63.2490005493164,NA,20.4
"207",2015,"HRV","Croatia",46.9900016784668,NA,56.47134,"Yes",15.2,64.0599975585938,2.2981858,15.2
"208",2015,"CYP","Cyprus",57.8880004882813,NA,56.76963,"Yes",12.5,79.7799987792969,NA,12.5
"209",2015,"CZE","Czech Republic",51.4220008850098,NA,57.29062,"Yes",19.6,59.048999786377,NA,19.6
"210",2015,"DNK","Denmark",57.7099990844727,NA,57.07333,"Yes",37.4,78.213996887207,NA,37.4
"211",2015,"EST","Estonia",55.9900016784668,NA,58.80574,"Yes",23.8,65.4359970092773,NA,23.8
"212",2015,"FIN","Finland",55.5209999084473,NA,53.59497,"Yes",41.5,74.0719985961914,NA,41.5
"213",2015,"FRA","France",50.7290000915527,NA,54.50222,"Yes",25.7,76.8789978027344,NA,25.7
"214",2015,"DEU","Germany",54.6080017089844,NA,47.94332,"No",36.9,70.9169998168945,NA,36.9
"215",2015,"GRC","Greece",45.4739990234375,NA,NA,"Yes",19.7,72.1630020141602,NA,19.7
"216",2015,"HUN","Hungary",47.2529983520508,NA,54.53987,"Yes",10.1,64.7710037231445,NA,10.1
"217",2015,"IRL","Ireland",52.6269989013672,NA,50.9076,"Yes",19.9,75.3040008544922,NA,19.9
"218",2015,"ITA","Italy",39.0029983520508,NA,56.33151,"Yes",30.1,69.6480026245117,NA,30.1
"219",2015,"LVA","Latvia",54.2599983215332,NA,59.56614,"Yes",18,68.4150009155273,NA,18
"220",2015,"LTU","Lithuania",54.5460014343262,NA,57.57418,"Yes",23.4,65.8580017089844,2.4155328,23.4
"221",2015,"LUX","Luxembourg",53.5589981079102,NA,50.98608,"Yes",28.3,86.431999206543,NA,28.3
